Country,Country & Area Code, Rate/Minute ($A) 
Aruba - Mobile - Digicel,29773, $0.36 
Aruba - Mobile - Digicel,29774, $0.36 
Aruba - Mobile - Setar,29756, $0.38 
Aruba - Mobile - Setar,29759, $0.38 
Aruba - Mobile - Setar,29766, $0.38 
Aruba - Mobile - Setar,29769, $0.38 
Aruba - Mobile - Setar,29799, $0.38 
Ascension Island,247, $2.63 
Ascension Island - Premium Rate,2470, $3.36 
Ascension Island - Premium Rate,2471, $3.36 
Ascension Island - Premium Rate,2475, $3.36 
Ascension Island - Premium Rate,2478, $3.36 
Ascension Island - Premium Rate,2479, $3.36 
Austria,43, $0.23 
Austria - Mobile,43655, $0.50 
Austria - Mobile,43661, $0.50 
Austria - Mobile,43663, $0.50 
Austria - Mobile,43665, $0.50 
Austria - Mobile,43667, $0.50 
Austria - Mobile,43668, $0.50 
Austria - Mobile,4367, $0.50 
Austria - Mobile,4368, $0.50 
Austria - Mobile,4369, $0.50 
Austria - Mobile,4369010, $0.50 
Austria - Mobile - Hutchison 3G,4369020, $0.49 
Austria - Mobile - Hutchison 3G,4369030, $0.49 
Austria - Mobile - Hutchison 3G,4369040, $0.49 
Austria - Mobile - Hutchison 3G,4369050, $0.49 
Austria - Mobile - Hutchison 3G,4369060, $0.49 
Austria - Mobile - Hutchison 3G,4369080, $0.49 
Austria - Mobile - Hutchison 3G,4369090, $0.49 
Austria - Mobile - Hutchison 3G,4366303, $0.49 
Austria - Mobile - Hutchison 3G,4366305, $0.49 
Austria - Mobile - Hutchison 3G,4366306, $0.49 
Austria - Mobile - Hutchison 3G,4366363, $0.49 
Austria - Mobile - Hutchison 3G,4366565, $0.49 
Austria - Mobile - Hutchison 3G,4366566, $0.49 
Austria - Mobile - Hutchison 3G,436688, $0.49 
Austria - Mobile - Hutchison 3G,43660, $0.49 
Austria - Mobile - Hutchison 3G,4367833, $0.49 
Austria - Mobile - Hutchison 3G,4367890, $0.49 
Austria - Mobile - Hutchison 3G,4367891, $0.49 
Austria - Mobile - Hutchison 3G,4368183, $0.49 
Austria - Mobile - Hutchison 3G,4368190, $0.49 
Austria - Mobile - Hutchison 3G,43699, $0.49 
Austria - Mobile - Mobilkom A1,4369981, $0.49 
Austria - Mobile - Mobilkom A1,4369982, $0.49 
Austria - Mobile - Mobilkom A1,43664, $0.49 
Austria - Mobile - Mobilkom A1,4366766, $0.49 
Austria - Mobile - Mobilkom A1,4366777, $0.49 
Austria - Mobile - Mobilkom A1,43680, $0.49 
Austria - Mobile - Mobilkom A1,43688, $0.49 
Austria - Mobile - Mobilkom A1,4369988, $0.49 
Austria - Mobile - Mobilkom A1,4369989, $0.49 
Austria - Mobile - Mobilkom A1,43681, $0.49 
Austria - Mobile - T-Mobile,43650, $0.49 
Austria - Mobile - T-Mobile,43676, $0.49 
Austria - Mobile - T-Mobile,43677, $0.49 
Austria - Mobile Truck Locator Service,4312288, $0.06 
Austria - Mobile Truck Locator Service,43123009, $0.06 
Austria - Premium numbers,43711, $0.78 
Austria - Premium numbers,43730, $0.78 
Austria - Premium numbers,43740, $0.78 
Austria - Premium numbers,43810, $0.78 
Austria - Premium numbers,43820, $0.78 
Austria - Private numbers,43501, $0.28 
Austria - Private numbers,43502, $0.28 
Austria - Private numbers,43503, $0.28 
Austria - Private numbers,43504, $0.28 
Austria - Private numbers,43505, $0.28 
Austria - Private numbers,43506, $0.28 
Austria - Private numbers,43507, $0.28 
Austria - Private numbers,43508, $0.28 
Austria - Private numbers,43509, $0.28 
Austria - Private numbers,43517, $0.28 
Austria - Private numbers,4357, $0.28 
Austria - Private numbers,4359, $0.28 
Austria - Special Service,43720, $0.28 
Austria - Special Service,43780, $0.28 
Austria - Vienna,431, $0.23 
Azerbaijan,994, $0.38 
Azerbaijan - Baku,99412, $0.38 
Azerbaijan - Mobile - AzerCell,99450, $0.62 
Azerbaijan - Mobile - AzerCell,99451, $0.62 
Azerbaijan - Mobile - Azerfone,99470, $0.62 
Azerbaijan - Mobile - Azerfone,99477, $0.62 
Azerbaijan - Mobile - Bakcell,99455, $0.64 
Azerbaijan - Mobile - Fonex,99440, $0.64 
Azerbaijan - Mobile - Other,99444, $0.64 
Azerbaijan - Mobile - Other,99460, $0.64 
Bahamas,1242, $0.33 
Bahamas - Mobile,1242423, $0.33 
Bahamas - Mobile,1242424, $0.33 
Bahamas - Mobile,1242425, $0.33 
Bahamas - Mobile,1242426, $0.33 
Bahamas - Mobile,1242427, $0.33 
Bahamas - Mobile,1242428, $0.33 
Bahamas - Mobile,1242429, $0.33 
Bahamas - Mobile,1242431, $0.33 
Bahamas - Mobile,1242432, $0.33 
Bahamas - Mobile,1242433, $0.33 
Bahamas - Mobile,1242434, $0.33 
Bahamas - Mobile,1242435, $0.33 
Bahamas - Mobile,1242436, $0.33 
Bahamas - Mobile,1242437, $0.33 
Bahamas - Mobile,1242438, $0.33 
Bahamas - Mobile,1242439, $0.33 
Bahamas - Mobile,1242441, $0.33 
Bahamas - Mobile,1242442, $0.33 
Bahamas - Mobile,1242443, $0.33 
Bahamas - Mobile,1242445, $0.33 
Bahamas - Mobile,1242446, $0.33 
Bahamas - Mobile,1242447, $0.33 
Bahamas - Mobile,1242448, $0.33 
Bahamas - Mobile,1242449, $0.33 
Bahamas - Mobile,1242451, $0.33 
Bahamas - Mobile,1242452, $0.33 
Bahamas - Mobile,1242453, $0.33 
Bahamas - Mobile,1242454, $0.33 
Bahamas - Mobile,1242455, $0.33 
Bahamas - Mobile,1242456, $0.33 
Bahamas - Mobile,1242457, $0.33 
Bahamas - Mobile,1242458, $0.33 
Bahamas - Mobile,1242462, $0.33 
Bahamas - Mobile,1242463, $0.33 
Bahamas - Mobile,1242464, $0.33 
Bahamas - Mobile,1242465, $0.33 
Bahamas - Mobile,1242466, $0.33 
Bahamas - Mobile,1242467, $0.33 
Bahamas - Mobile,1242468, $0.33 
Bahamas - Mobile,124247, $0.33 
Bahamas - Mobile,1242481, $0.33 
Bahamas - Mobile,1242524, $0.33 
Bahamas - Mobile,1242525, $0.33 
Bahamas - Mobile,1242533, $0.33 
Bahamas - Mobile,1242535, $0.33 
Bahamas - Mobile,1242544, $0.33 
Bahamas - Mobile,1242551, $0.33 
Bahamas - Mobile,1242552, $0.33 
Bahamas - Mobile,1242553, $0.33 
Bahamas - Mobile,1242554, $0.33 
Bahamas - Mobile,1242556, $0.33 
Bahamas - Mobile,1242557, $0.33 
Bahamas - Mobile,1242558, $0.33 
Bahamas - Mobile,1242559, $0.33 
Bahamas - Mobile,1242565, $0.33 
Bahamas - Mobile,1242577, $0.33 
Bahamas - Mobile,1242636, $0.33 
Bahamas - Mobile,1242646, $0.33 
Bahamas - Mobile,1242727, $0.33 
Bahamas - Mobile,1242703, $0.33 
Bahamas - Mobile,1242800, $0.33 
Bahamas - Mobile,1242888, $0.33 
Bahamas - Mobile,1242889, $0.33 
Bahamas - Mobile,1242738, $0.33 
Bahamas - Mobile,1242801, $0.33 
Bahamas - Mobile,1242802, $0.33 
Bahamas - Mobile,1242803, $0.33 
Bahamas - Mobile,1242804, $0.33 
Bahamas - Mobile,1242805, $0.33 
Bahamas - Mobile,1242806, $0.33 
Bahamas - Mobile,1242807, $0.33 
Bahamas - Mobile,1242808, $0.33 
Bahamas - Mobile,1242809, $0.33 
Bahamas - Mobile,1242810, $0.33 
Bahamas - Mobile,1242812, $0.33 
Bahamas - Mobile,1242813, $0.33 
Bahamas - Mobile,1242814, $0.33 
Bahamas - Mobile,1242815, $0.33 
Bahamas - Mobile,1242816, $0.33 
Bahamas - Mobile,1242817, $0.33 
Bahamas - Mobile,1242818, $0.33 
Bahamas - Mobile,1242819, $0.33 
Bahamas - Mobile,124282, $0.33 
Bahamas - Mobile,1242899, $0.33 
Bahamas - Mobile,1242357, $0.33 
Bahamas - Mobile,1242359, $0.33 
Bahamas - Mobile,1242375, $0.33 
Bahamas - Mobile,1242395, $0.33 
Bahamas - Mobile,1242421, $0.33 
Bahamas - Mobile,1242422, $0.33 
Bahrain,973, $0.19 
Bahrain - Broadband,9737111, $1.21 
Bahrain - Mobile - Batelco,97331, $0.24 
Bahrain - Mobile - Batelco,97332, $0.24 
Bahrain - Mobile - Batelco,97338, $0.24 
Bahrain - Mobile - Batelco,97339, $0.24 
Bahrain - Mobile - Batelco,973667, $0.24 
Bahrain - Mobile - Viva,97333, $0.24 
Bahrain - Mobile - Viva,97334, $0.24 
Bahrain - Mobile - Viva,97335, $0.24 
Bahrain - Mobile - Viva,9736300, $0.24 
Bahrain - Mobile - Viva,9736333, $0.24 
Bahrain - Mobile - Viva,9736361, $0.24 
Bahrain - Mobile - Viva,9736366, $0.24 
Bahrain - Mobile - Zain,97336, $0.24 
Bahrain - Mobile - Zain,97337, $0.24 
Bahrain - Mobile - Zain,973663, $0.24 
Bahrain - Mobile - Zain,973666, $0.24 
Bahrain - Mobile - Zain,973669, $0.24 
Bahrain - WIMAX,97377, $0.21 
Bangladesh,880, $0.08 
Bangladesh - Mobile,8801, $0.08 
Barbados,1246, $0.38 
Barbados - Mobile - CW,124623, $0.48 
Barbados - Mobile - CW,124624, $0.48 
Barbados - Mobile - CW,1246250, $0.48 
Barbados - Mobile - CW,1246251, $0.48 
Barbados - Mobile - CW,1246252, $0.48 
Barbados - Mobile - CW,1246253, $0.48 
Barbados - Mobile - CW,1246254, $0.48 
Barbados - Mobile - CW,1246255, $0.48 
Barbados - Mobile - CW,124628, $0.48 
Barbados - Mobile - CW,1246446, $0.48 
Barbados - Mobile - CW,1246447, $0.48 
Barbados - Mobile - CW,1246448, $0.48 
Barbados - Mobile - CW,1246449, $0.48 
Barbados - Mobile - CW,124645, $0.48 
Barbados - Mobile - CW,124652, $0.48 
Barbados - Mobile - Digicel,1246256, $0.42 
Barbados - Mobile - Digicel,1246257, $0.42 
Barbados - Mobile - Digicel,1246258, $0.42 
Barbados - Mobile - Digicel,1246259, $0.42 
Barbados - Mobile - Digicel,124626, $0.42 
Barbados - Mobile - Digicel,1246530, $0.42 
Barbados - Mobile - Digicel,1246531, $0.42 
Barbados - Mobile - Digicel,1246532, $0.42 
Barbados - Mobile - Digicel,1246533, $0.42 
Barbados - Mobile - Digicel,1246534, $0.42 
Barbados - Mobile - Digicel,1246535, $0.42 
Barbados - Mobile - Digicel,1246536, $0.42 
Barbados - Mobile - Digicel,1246537, $0.42 
Barbados - Mobile - Digicel,1246538, $0.42 
Barbados - Mobile - Digicel,1246539, $0.42 
Barbados - Mobile - Digicel,124654, $0.42 
Barbados - Mobile - Digicel,124682, $0.42 
Barbados - Mobile - Digicel,124683, $0.42 
Barbados - Mobile - Digicel,124684, $0.42 
Barbados - Mobile - Digicel,124685, $0.42 
Barbados - Mobile - Other,1246695, $0.46 
Barbados - Mobile - Other,1246696, $0.46 
Barbados - Mobile - Other,1246697, $0.46 
Belarus,375, $0.74 
Belarus - Minsk,375172, $0.74 
Belarus - Minsk,375173, $0.74 
Belarus - Minsk,375175, $0.74 
Belarus - Mobile - MTS,375292, $0.74 
Belarus - Mobile - MTS,375295, $0.74 
Belarus - Mobile - MTS,375297, $0.74 
Belarus - Mobile - MTS,375298, $0.74 
Belarus - Mobile - MTS,37533, $0.74 
Belarus - Mobile - Others,37525, $0.74 
Belarus - Mobile - Others,37529, $0.74 
Belarus - Mobile - Velcom,375291, $0.74 
Belarus - Mobile - Velcom,375293, $0.74 
Belarus - Mobile - Velcom,375296, $0.74 
Belarus - Mobile - Velcom,375299, $0.74 
Belarus - Mobile - Velcom,37544, $0.74 
Belarus - Telematic Service,375602, $2.58 
Belarus - Voice Services OLO,375860, $0.78 
Belgium,32, $0.18 
Belgium - Mobile - Base,32483, $0.82 
Belgium - Mobile - Base,32484, $0.82 
Belgium - Mobile - Base,32485, $0.82 
Belgium - Mobile - Base,32486, $0.82 
Belgium - Mobile - Base,32487, $0.82 
Belgium - Mobile - Base,32488, $0.82 
Belgium - Mobile - Base,32489, $0.82 
Belgium - Mobile - Mobistar,3249, $0.82 
Belgium - Mobile - Mobistar,32770005, $0.82 
Belgium - Mobile - Other,32456, $0.82 
Belgium - Mobile - Other,32465, $0.82 
Belgium - Mobile - Other,3246, $0.82 
Belgium - Mobile - Other,3248, $0.82 
Belgium - Mobile - Proximus,32460, $0.82 
Belgium - Mobile - Proximus,3247, $0.82 
Belgium - Mobile - Proximus,32770001, $0.82 
Belgium - Mobile - Telenet,324680, $0.82 
Belgium - Mobile - Telenet,324681, $0.82 
Belgium - Mobile - Telenet,324682, $0.82 
Belgium - Mobile - Telenet,324683, $0.82 
Belgium - Mobile - Telenet,324684, $0.82 
Belgium - Personal Numbers,3270, $0.12 
Belgium - Service Numbers,3278, $0.10 
Belgium - Telenet Areas,325073, $0.17 
Belgium - Telenet Areas,325088, $0.17 
Belgium - Telenet Areas,325090, $0.17 
Belgium - Telenet Areas,325143, $0.17 
Belgium - Telenet Areas,325144, $0.17 
Belgium - Telenet Areas,325145, $0.17 
Belgium - Telenet Areas,325152, $0.17 
Belgium - Telenet Areas,325153, $0.17 
Belgium - Telenet Areas,325160, $0.17 
Belgium - Telenet Areas,325162, $0.17 
Belgium - Telenet Areas,325169, $0.17 
Belgium - Telenet Areas,325180, $0.17 
Belgium - Telenet Areas,325181, $0.17 
Belgium - Telenet Areas,325182, $0.17 
Belgium - Telenet Areas,325188, $0.17 
Belgium - Telenet Areas,325189, $0.17 
Belgium - Telenet Areas,325250, $0.17 
Belgium - Telenet Areas,325251, $0.17 
Belgium - Telenet Areas,325252, $0.17 
Belgium - Telenet Areas,325253, $0.17 
Belgium - Telenet Areas,325254, $0.17 
Belgium - Telenet Areas,325255, $0.17 
Belgium - Telenet Areas,325256, $0.17 
Belgium - Telenet Areas,325257, $0.17 
Belgium - Telenet Areas,325279, $0.17 
Belgium - Telenet Areas,325288, $0.17 
Belgium - Telenet Areas,325338, $0.17 
Belgium - Telenet Areas,325339, $0.17 
Belgium - Telenet Areas,325340, $0.17 
Belgium - Telenet Areas,325341, $0.17 
Belgium - Telenet Areas,325342, $0.17 
Belgium - Telenet Areas,325343, $0.17 
Belgium - Telenet Areas,325369, $0.17 
Belgium - Telenet Areas,325388, $0.17 
Belgium - Telenet Areas,325423, $0.17 
Belgium - Telenet Areas,325424, $0.17 
Belgium - Telenet Areas,325425, $0.17 
Belgium - Telenet Areas,325426, $0.17 
Belgium - Telenet Areas,325480, $0.17 
Belgium - Telenet Areas,325488, $0.17 
Belgium - Telenet Areas,325559, $0.17 
Belgium - Telenet Areas,325560, $0.17 
Belgium - Telenet Areas,325561, $0.17 
Belgium - Telenet Areas,325562, $0.17 
Belgium - Telenet Areas,325580, $0.17 
Belgium - Telenet Areas,325588, $0.17 
Belgium - Telenet Areas,325628, $0.17 
Belgium - Telenet Areas,325629, $0.17 
Belgium - Telenet Areas,325632, $0.17 
Belgium - Telenet Areas,325644, $0.17 
Belgium - Telenet Areas,325647, $0.17 
Belgium - Telenet Areas,325649, $0.17 
Belgium - Telenet Areas,325688, $0.17 
Belgium - Telenet Areas,325690, $0.17 
Belgium - Telenet Areas,325735, $0.17 
Belgium - Telenet Areas,325736, $0.17 
Belgium - Telenet Areas,325737, $0.17 
Belgium - Telenet Areas,325788, $0.17 
Belgium - Telenet Areas,325789, $0.17 
Belgium - Telenet Areas,325859, $0.17 
Belgium - Telenet Areas,325860, $0.17 
Belgium - Telenet Areas,325861, $0.17 
Belgium - Telenet Areas,325862, $0.17 
Belgium - Telenet Areas,325863, $0.17 
Belgium - Telenet Areas,325888, $0.17 
Belgium - Telenet Areas,325889, $0.17 
Belgium - Telenet Areas,325940, $0.17 
Belgium - Telenet Areas,325941, $0.17 
Belgium - Telenet Areas,325942, $0.17 
Belgium - Telenet Areas,325943, $0.17 
Belgium - Telenet Areas,325944, $0.17 
Belgium - Telenet Areas,325988, $0.17 
Belgium - Telenet Areas,325989, $0.17 
Belgium - Telenet Areas,326061, $0.17 
Belgium - Telenet Areas,326088, $0.17 
Belgium - Telenet Areas,326089, $0.17 
Belgium - Telenet Areas,326160, $0.17 
Belgium - Telenet Areas,326188, $0.17 
Belgium - Telenet Areas,326189, $0.17 
Belgium - Telenet Areas,326364, $0.17 
Belgium - Telenet Areas,326388, $0.17 
Belgium - Telenet Areas,326389, $0.17 
Belgium - Telenet Areas,326450, $0.17 
Belgium - Telenet Areas,326463, $0.17 
Belgium - Telenet Areas,326489, $0.17 
Belgium - Telenet Areas,326550, $0.17 
Belgium - Telenet Areas,326585, $0.17 
Belgium - Telenet Areas,326589, $0.17 
Belgium - Telenet Areas,326750, $0.17 
Belgium - Telenet Areas,326766, $0.17 
Belgium - Telenet Areas,326780, $0.17 
Belgium - Telenet Areas,326869, $0.17 
Belgium - Telenet Areas,326888, $0.17 
Belgium - Telenet Areas,326889, $0.17 
Belgium - Telenet Areas,326950, $0.17 
Belgium - Telenet Areas,326970, $0.17 
Belgium - Telenet Areas,326980, $0.17 
Belgium - Telenet Areas,327167, $0.17 
Belgium - Telenet Areas,327169, $0.17 
Belgium - Telenet Areas,3271948, $0.17 
Belgium - Telenet Areas,3271949, $0.17 
Belgium - Telenet Areas,327810, $0.17 
Belgium - Telenet Areas,3278353, $0.17 
Belgium - Telenet Areas,327836, $0.17 
Belgium - Telenet Areas,327878, $0.17 
Belgium - Telenet Areas,328050, $0.17 
Belgium - Telenet Areas,328069, $0.17 
Belgium - Telenet Areas,328081, $0.17 
Belgium - Telenet Areas,328150, $0.17 
Belgium - Telenet Areas,328169, $0.17 
Belgium - Telenet Areas,328180, $0.17 
Belgium - Telenet Areas,328283, $0.17 
Belgium - Telenet Areas,328288, $0.17 
Belgium - Telenet Areas,328289, $0.17 
Belgium - Telenet Areas,328384, $0.17 
Belgium - Telenet Areas,328388, $0.17 
Belgium - Telenet Areas,328389, $0.17 
Belgium - Telenet Areas,328485, $0.17 
Belgium - Telenet Areas,328488, $0.17 
Belgium - Telenet Areas,328489, $0.17 
Belgium - Telenet Areas,328586, $0.17 
Belgium - Telenet Areas,328588, $0.17 
Belgium - Telenet Areas,328589, $0.17 
Belgium - Telenet Areas,328687, $0.17 
Belgium - Telenet Areas,328688, $0.17 
Belgium - Telenet Areas,328689, $0.17 
Belgium - Telenet Areas,328750, $0.17 
Belgium - Telenet Areas,328757, $0.17 
Belgium - Telenet Areas,328780, $0.17 
Belgium - Telenet Areas,328920, $0.17 
Belgium - Telenet Areas,328921, $0.17 
Belgium - Telenet Areas,328922, $0.17 
Belgium - Telenet Areas,328923, $0.17 
Belgium - Telenet Areas,328924, $0.17 
Belgium - Telenet Areas,328925, $0.17 
Belgium - Telenet Areas,328980, $0.17 
Belgium - Telenet Areas,328988, $0.17 
Belgium - Telenet Areas,3290, $0.17 
Belgium - Telenet Areas,329278, $0.17 
Belgium - Telenet Areas,329279, $0.17 
Belgium - Telenet Areas,329324, $0.17 
Belgium - Telenet Areas,329328, $0.17 
Belgium - Telenet Areas,329329, $0.17 
Belgium - Telenet Areas,329330, $0.17 
Belgium - Telenet Areas,329331, $0.17 
Belgium - Telenet Areas,329332, $0.17 
Belgium - Telenet Areas,329334, $0.17 
Belgium - Telenet Areas,329335, $0.17 
Belgium - Telenet Areas,329336, $0.17 
Belgium - Telenet Areas,329350, $0.17 
Belgium - Telenet Areas,321020, $0.17 
Belgium - Telenet Areas,321044, $0.17 
Belgium - Telenet Areas,321089, $0.17 
Belgium - Telenet Areas,321141, $0.17 
Belgium - Telenet Areas,321171, $0.17 
Belgium - Telenet Areas,321172, $0.17 
Belgium - Telenet Areas,321174, $0.17 
Belgium - Telenet Areas,321175, $0.17 
Belgium - Telenet Areas,321176, $0.17 
Belgium - Telenet Areas,321191, $0.17 
Belgium - Telenet Areas,3211967, $0.17 
Belgium - Telenet Areas,3211968, $0.17 
Belgium - Telenet Areas,3211969, $0.17 
Belgium - Telenet Areas,321220, $0.17 
Belgium - Telenet Areas,321221, $0.17 
Belgium - Telenet Areas,321222, $0.17 
Belgium - Telenet Areas,321288, $0.17 
Belgium - Telenet Areas,321289, $0.17 
Belgium - Telenet Areas,321325, $0.17 
Belgium - Telenet Areas,321326, $0.17 
Belgium - Telenet Areas,321327, $0.17 
Belgium - Telenet Areas,321328, $0.17 
Belgium - Telenet Areas,321329, $0.17 
Belgium - Telenet Areas,321330, $0.17 
Belgium - Telenet Areas,321388, $0.17 
Belgium - Telenet Areas,321389, $0.17 
Belgium - Telenet Areas,321466, $0.17 
Belgium - Telenet Areas,321470, $0.17 
Belgium - Telenet Areas,321471, $0.17 
Belgium - Telenet Areas,321472, $0.17 
Belgium - Telenet Areas,321473, $0.17 
Belgium - Telenet Areas,321474, $0.17 
Belgium - Telenet Areas,321475, $0.17 
Belgium - Telenet Areas,321489, $0.17 
Belgium - Telenet Areas,321533, $0.17 
Belgium - Telenet Areas,321534, $0.17 
Belgium - Telenet Areas,321535, $0.17 
Belgium - Telenet Areas,321536, $0.17 
Belgium - Telenet Areas,321537, $0.17 
Belgium - Telenet Areas,321563, $0.17 
Belgium - Telenet Areas,321564, $0.17 
Belgium - Telenet Areas,321565, $0.17 
Belgium - Telenet Areas,321566, $0.17 
Belgium - Telenet Areas,321567, $0.17 
Belgium - Telenet Areas,321588, $0.17 
Belgium - Telenet Areas,321589, $0.17 
Belgium - Telenet Areas,321632, $0.17 
Belgium - Telenet Areas,321633, $0.17 
Belgium - Telenet Areas,321634, $0.17 
Belgium - Telenet Areas,321637, $0.17 
Belgium - Telenet Areas,321641, $0.17 
Belgium - Telenet Areas,321643, $0.17 
Belgium - Telenet Areas,321684, $0.17 
Belgium - Telenet Areas,321685, $0.17 
